297,Macaulay Cullin,Home alone,Comedy,
298,Reese Witherspoon,How do you know,Comedy,
299,Julia Roberts,JR: My best friends wedding,Comedy,
300,Julia Roberts,JR: Notting Hill,Comedy,
301,Adam Sandler,Just go with it,Comedy,
302,Clint Eastwood,Kellys heroes,Comedy,
303,Catherine Heigl,Life as we know it,Comedy,
304,Kate Hudson,Little bit of heaven,Comedy,
305,Jason Statham,Lock stock & two smoking barrels,Comedy,
306,Robert de Niro,Midnight Run,Comedy,
307,Martin Lawrence,National Security,Comedy,
308,Anna Kendrick,Pitch  perfect,Comedy,
309,ZZZ,Project X,Comedy,
310,Jacky Chan,Rush hour 1,Comedy,
311,Jackie Chan,Rush hour 2,Comedy,
312,Jacky Chan,Rush hour 3,Comedy,
313,Richard Gere,Shall we dance,Comedy,
314,Whoopi Goldberg,Sister Act,Comedy,
315,Brad Pitt,Snatch,Comedy,
316,Sylvester Stallone,Tango and Cash,Comedy,
317,Aubrey Plaza,To do list,Comedy,
318,Henry Fonda,12 Angry men,Drama,
319,Ben Affleck,Accountant,Drama,
320,Rachel Weisz,Agora,Drama,
321,Russell Crowe,American Gangster,Drama,
322,Bradley Cooper,American sniper,Drama,
323,Martin Sheen,Apocolypse now,Drama,
324,Jason Statham,Bank job,Drama,
325,Clint Eastwood,Beguiled,Drama,
326,Owen Wilson,Behind enemy lines,Drama,
327,Alex Baldwin,Blue Jasmine,Drama,
328,Jodie Foster,Brave one,Drama,
329,Mel Gibson,Braveheart,Drama,
330,Clint Eastwood,Breezy,Drama,
331,Sean Connery,Bridge too far,Drama,
332,Robert de Niro,Casino,Drama,
333,Harrison Ford,Clear and present danger,Drama,
334,Clint Eastwood,Coogans bluff,Drama,
335,Robert de Niro,Deer hunter,Drama,
336,Naomi Watts,Diana,Drama,
337,Joseph Fiennes,Enemy at the gates,Drama,
338,Clint Eastwood,Escape from Alcatraz,Drama,
339,Steven Seagal,Executive decision,Drama,
340,Frances McDormand,Fargo,Drama,
341,Clint Eastwood,Flags of our fathers,Drama,
342,Will Smith,Focus,Drama,
343,Harrison Ford,Fugitive,Drama,
344,Brad Pitt,Fury,Drama,
345,Leonardo Di Capro,Gangs of New York,Drama,
346,Michael Nyqvist,Girl that kicked the hornets nest,Drama,
347,Michael Nyqvist,Girl that played with fire,Drama,
348,Daniel Craig,Girl with the dragon tattoo,Drama,
349,Michael Nyqvist,Girl with the dragon tattoo,Drama,
350,Marlon Brandon,Godfather 1,Drama,
351,Robert de Niro,Godfather 2,Drama,
352,Al Pacino,Godfather 3,Drama,
353,Leonardo Di Capro,Great Gatsby,Drama,
354,Benjamin Bratt,Great raid,Drama,
355,Viggo Mortensen,Hidalgo,Drama,
356,Sean Connery,Hunt for Red October,Drama,
357,Brad Pitt,Inglourous basterds,Drama,
358,Julia Roberts,JR: August Osage County,Drama,
359,Julia Roberts,JR: Eat pray love,Drama,
360,Jamie Foxx,Kingdom,Drama,
361,Russell Crowe,LA Confidential,Drama,
362,Morgan Freeman,Last Knights,Drama,
363,Daniel Day-Lewis,Last of the Mohicans,Drama,
364,Ang Lee,Life of Pi,Drama,
365,Colin Farrell,London boulevard,Drama,
366,Leonardo Di Capro,Man in the iron mask,Drama,
367,Matthew Modine,Memphis Belle,Drama,
368,Russell Crowe,Next three days,Drama,
369,Richard Gere,Officer and a gentleman,Drama,
370,Mel Gibson,Patriot,Drama,
371,Harrison Ford,Patriot games,Drama,
372,Ben Affleck,Pearl Harbour,Drama,
375,Leonardo Di Capro,Revenant,Dramal
376,Liam Neeson,Rob Roy,Dramal
377,Nicolas Cage,Rock,Drama,
378,Sylvester Stallone,Rocky 1,Drama,
379,Sylvester Stallone,Rocky 2,Drama,
380,Sylvester Stallone,Rocky 3,Drama,
381,Sylvester Stallone,Rocky 4,Drama,
382,Sylvester Stallone,Rocky 5,Drama,
383,Ben Affleck,Runner runner,Drama,
384,John Travolta,Savages,Drama,
385,Liam Neeson,Schindlers list,Drama,
386,Chris Pine,Shadow recruit,Drama,
387,Morgan Freeman,Shawshank redemption,Drama,
388,Jennifer Lawrence,Silverlinings playbook,Drama,
389,Dev Patel,Slumdog millionaire,Drama,
390,Keith Carradine,Southern comfort,Drama,
391,Richard Armitage,Strike back,Drama,
392,Ben Affleck,Sum of all fears,Drama,
393,Leonardo Di Capro,Titanic,Drama,
394,Tom Cruise,Top gun,Drama,
395,Don Cheadle,Traitor,Drama,
396,Brad Pitt,Troy,Drama,
397,Tommy Lee Jones,US Marshals,Drama,
